,short_name,lanes_length,population,lanes_per_1K,minx,miny,maxx,maxy
19,Казань,182706.9706255249,1257341.0,145.312187088089,48.892808,55.7292851,49.2362165,55.8678227
29,Набережные Челны,49059.23093295916,532074.0,92.20377416103618,52.2871971,55.6766165,52.4547386,55.7629576
0,Анапа,5526.830234123673,94340.0,58.58416614504635,37.2921038,44.8896624,37.3357687,44.9568115
28,Москва,740018.668161357,12655050.0,58.476155223516066,37.1446249,55.4115253,37.8557324,56.0169487
5,Белгород,22174.485529681824,391702.0,56.6106007364829,36.5636096,50.5522524,36.5840063,50.6553609
23,Красноярск,57062.01738086418,1092851.0,52.21390416521939,92.7505679,55.9794558,92.9557988,56.0687198
25,Курчатов,1673.628268769789,37940.0,44.11250049472296,35.6466779,51.6589762,35.6585118,51.6618646
57,Чебоксары,20139.849222351015,495810.0,40.62009483945668,47.2501802,56.0790964,47.3274707,56.1300304
21,Котельники,1771.8457534292497,50723.0,34.93180122290183,37.838716,55.6400199,37.8524489,55.6534118
13,Дзержинский,1771.8457534292497,52797.0,33.55959151901149,37.838716,55.6400199,37.8524489,55.6534118
56,Химки,7201.025918091032,257757.0,27.937266177411402,37.4051642,55.8781842,37.4538565,55.9624378
52,Тюмень,21675.96280769981,816700.0,26.540911972204984,65.5206156,57.0932835,65.6283116,57.1800875
39,Ростов-на-Дону,29340.50846626794,1137704.0,25.789228539468912,39.6135235,47.2110563,39.7661626,47.2946576
37,Пермь,26238.267321150208,1049199.0,25.00790347793908,56.0426251,57.9375949,56.2878513,58.0418049
22,Краснодар,22167.889880650433,948827.0,23.363468662517437,38.905356,45.0126475,39.1387296,45.1019413
12,Воронеж,24405.882119053647,1050602.0,23.230378505898187,39.1820942,51.6324824,39.2621255,51.7016729
6,Брянск,9244.07247770537,399579.0,23.134530287390902,34.3774318,53.2227019,34.4070434,53.258966
59,Череповец,6038.830938883485,312091.0,19.349583739625572,37.9251212,59.1198518,38.0066657,59.1401318
34,Оренбург,9874.496487192202,572819.0,17.23842345870546,55.0753566,51.7607907,55.1072275,51.7979721
10,Волгоград,16899.559679351936,1004763.0,16.81944864545364,44.4825273,48.7041318,44.5400548,48.753476
24,Курск,7272.463332234999,450977.0,16.12601824978879,36.1701339,51.7243632,36.195032,51.7875413
7,Великий Новгород,3475.2396269940477,225019.0,15.444205275972463,31.2518495,58.5098041,31.2840843,58.5715085
54,Уфа,16608.608890570868,1125933.0,14.750974427937424,55.827713,54.7025317,56.0385132,54.7948464
43,Санкт-Петербург,75765.8349640814,5384342.0,14.071512352685138,30.165024,59.6856592,30.4872186,60.0211773
32,Новосибирск,21925.651662630426,1620162.0,13.532999578209107,82.8580201,54.9692651,82.9667197,55.0710604
45,Саратов,10852.80070031888,830155.0,13.07322210950832,45.9923762,51.5224695,46.0555351,51.5575961
58,Челябинск,15384.97140612202,1187960.0,12.95074868356007,61.2865448,55.1411109,61.4142597,55.1944178
51,Тулун,489.6784190972079,38466.0,12.73016219771247,100.577999,54.557176,100.5792546,54.5615
16,Ижевск,8198.67243908553,646468.0,12.682255640009297,53.1850505,56.8319067,53.2260132,56.8809689
47,Сочи,4999.252875686432,432322.0,11.56372536138904,39.7210371,43.5663373,39.7448015,43.5940681
55,Хабаровск,6845.961975270529,610305.0,11.217279844127985,135.0922217,48.4076077,135.1129834,48.4649058
1,Арзамас,1104.7997803748804,103396.0,10.685130763036097,43.8151387,55.3846131,43.8202885,55.3985583
2,Астрахань,5237.891060896433,524371.0,9.988903011219982,47.9904419,46.3414698,48.0635368,46.3550185
41,Рязань,5135.611432414603,534801.0,9.602845605028044,39.6888185,54.6165922,39.7833824,54.6283694
11,Вологда,2749.8516477028143,308530.0,8.912752885303906,39.8296682,59.195808,39.8688675,59.2172841
44,Саранск,2735.5237091022714,317432.0,8.617668379691624,45.1523913,54.1711477,45.1624106,54.1946488
14,Екатеринбург,12727.803139416295,1495066.0,8.513204861468521,60.514991,56.7840691,60.6520246,56.8562723
42,Самара,9559.042085941743,1144759.0,8.350265938893465,50.1228127,53.193738,50.2879479,53.3016801
3,Балашиха,4128.681274276269,507307.0,8.138427568072723,37.9046068,55.7436854,38.008631,55.8267283
40,Рыбинск,1345.8327593520285,182383.0,7.379156825756942,38.8376999,58.0478419,38.8593936,58.0517139
60,Электросталь,1022.7008702140183,152607.0,6.701533155189594,38.4460519,55.7991616,38.4912188,55.8014411
49,Таганрог,1608.4817640241022,248269.0,6.478786171548208,38.9145797,47.2103905,38.9213603,47.2212081
48,Ставрополь,2880.6183457814323,454488.0,6.338161504333298,41.9416254,45.0275554,41.9674539,45.0440604
33,Омск,6814.729031510116,1139897.0,5.978372634992562,73.3320553,54.9625379,73.3860219,55.0245905
15,Иваново,2243.1433782322188,401505.0,5.586837967726974,40.9632647,56.9732519,41.0541701,57.0164168
53,Ульяновск,2737.6887325024354,625462.0,4.377066444488131,48.3631229,54.3047847,48.4832782,54.3228054
31,Нижний Новгород,5355.730211961486,1244254.0,4.304370499883051,43.9303871,56.2300834,43.980036,56.3288
4,Барнаул,2684.949360894944,631124.0,4.254234288182583,83.7700546,53.3401191,83.7858271,53.3628796
20,Кострома,1074.4293341821267,277393.0,3.873310913332805,40.9212848,57.7424427,40.9584152,57.7612905
62,Ярославль,2151.874909528996,601403.0,3.57809141212963,39.8354441,57.6229785,39.9219733,57.6414474
17,Иркутск,1797.6894758819574,617515.0,2.9111673010080037,104.1981754,52.2684151,104.285917,52.3409762
26,Липецк,1381.4090697574482,503216.0,2.7451612622759374,39.5744343,52.6027564,39.5931816,52.6042855
27,Майкоп,341.609924726529,139084.0,2.456141071054392,40.1095904,44.6088355,40.1102878,44.6119175
9,Владикавказ,664.094044030239,301543.0,2.202319549882567,44.6831632,43.0310917,44.6898487,43.0351226
8,Владивосток,1151.5669987195408,600871.0,1.9164962175234632,131.8838257,43.1044139,131.9391489,43.1192561
61,Южно-Сахалинск,340.8811103287402,200235.0,1.702405225503734,142.7242668,46.886827,142.7452049,46.936325
46,Смоленск,512.9714885925548,320170.0,1.602184741207967,32.0444201,54.7814609,32.0546789,54.804715
30,Нижневартовск,365.931680548336,278725.0,1.3128771389302574,76.4946921,60.9499798,76.4992734,60.9511936
38,Подольск,358.149738392012,309250.0,1.158123648801979,37.6146676,55.4741546,37.6153098,55.4773376
36,Пенза,347.84857443350035,516450.0,0.6735377566724762,44.9843791,53.2031392,44.9893788,53.204026
18,Йошкар-Ола,169.05163414726863,276155.0,0.6121621341176825,47.894817,56.627502,47.8958362,56.6289065
50,Томск,313.175442531666,568508.0,0.5508725339514413,84.9502372,56.4762872,84.9553442,56.4762872
35,Орёл,117.85991979826643,303696.0,0.38808518978934997,36.0106411,52.919269,36.0119392,52.9199806
