,short_name,lanes_length,population,lanes_per_1K,minx,miny,maxx,maxy
21,Казань,182706.9706255249,1257341.0,145.312187088089,48.892808,55.7292851,49.2362165,55.8678227
35,Набережные Челны,49059.23093295916,532074.0,92.20377416103618,52.2871971,55.6766165,52.4547386,55.7629576
14,Долгопрудный,7221.890485060617,117778.0,61.31782238669885,37.4912436,55.9023553,37.5063257,55.9488312
0,Анапа,5526.830234123673,94340.0,58.58416614504635,37.2921038,44.8896624,37.3357687,44.9568115
34,Москва,740018.668161357,12655050.0,58.476155223516066,37.1446249,55.4115253,37.8557324,56.0169487
5,Белгород,22174.485529681824,391702.0,56.6106007364829,36.5636096,50.5522524,36.5840063,50.6553609
29,Красноярск,57062.01738086418,1092851.0,52.21390416521939,92.7505679,55.9794558,92.9557988,56.0687198
24,Киров,1480.0464629786823,29925.0,49.45852842034026,49.6306077,58.5658154,49.6688125,58.6038167
31,Курчатов,1673.628268769789,37940.0,44.11250049472296,35.6466779,51.6589762,35.6585118,51.6618646
65,Чебоксары,20139.849222351015,495810.0,40.62009483945668,47.2501802,56.0790964,47.3274707,56.1300304
26,Котельники,1771.8457534292497,50723.0,34.93180122290183,37.838716,55.6400199,37.8524489,55.6534118
46,Ростов-на-Дону,38407.82098122065,1137704.0,33.75906297351565,39.6135235,47.203358,39.7982583,47.2946576
13,Дзержинский,1771.8457534292497,52797.0,33.55959151901149,37.838716,55.6400199,37.8524489,55.6534118
64,Химки,8601.511868955009,257757.0,33.370623761740745,37.4051642,55.8781842,37.4952026,55.9624378
66,Челябинск,39061.34158872649,1187960.0,32.88102426742188,61.2813333,55.1374519,61.4587885,55.2500003
30,Курск,13373.2243183723,450977.0,29.653894363509227,36.1313783,51.6628289,36.2119409,51.7890736
12,Воронеж,31071.424842276436,1050602.0,29.574876920352747,39.1655094,51.6324824,39.2722059,51.7346496
59,Тюмень,21675.96280769981,816700.0,26.540911972204984,65.5206156,57.0932835,65.6283116,57.1800875
27,Красногорск,4565.912966853309,175812.0,25.970428451148436,37.3172525,55.8169623,37.3680648,55.8821304
44,Пермь,26733.155043562187,1049199.0,25.47958494390691,56.0426251,57.9375949,56.2878513,58.0382564
28,Краснодар,22167.889880650433,948827.0,23.363468662517437,38.905356,45.0126475,39.1387296,45.1019413
6,Брянск,9244.07247770537,399579.0,23.134530287390902,34.3774318,53.2227019,34.4070434,53.258966
48,Рязань,11962.464741224696,534801.0,22.36806726469228,39.6607543,54.6165922,39.7833824,54.6446893
39,Новосибирск,31752.234297531904,1620162.0,19.598184809625153,82.8580201,54.9723935,83.0249691,55.0711857
67,Череповец,6038.830938883485,312091.0,19.349583739625572,37.9251212,59.1198518,38.0066657,59.1401318
16,Екатеринбург,27238.65860073175,1495066.0,18.21903421035041,60.5127633,56.7683668,60.7725237,56.9006164
25,Кострома,4951.6089154261,277393.0,17.8505186339457,40.911543,57.736716,40.9616768,57.7713958
41,Оренбург,9874.496487192202,572819.0,17.23842345870546,55.0753566,51.7607907,55.1072275,51.7979721
23,Кемерово,9296.577382324722,552546.0,16.82498358928437,86.0830736,55.3446436,86.1608791,55.437852
10,Волгоград,16899.559679351936,1004763.0,16.81944864545364,44.4825273,48.7041318,44.5400548,48.753476
62,Уфа,17905.080120946368,1125933.0,15.902438351967984,55.9456873,54.7237527,56.046989,54.8036037
7,Великий Новгород,3475.2396269940477,225019.0,15.444205275972463,31.2518495,58.5098041,31.2840843,58.5715085
50,Санкт-Петербург,82993.49907558397,5384342.0,15.413860983493242,30.165024,59.6856592,30.4872186,60.0211773
19,Иркутск,8139.059594615331,617515.0,13.18034314083922,104.1981754,52.2684151,104.285917,52.3409762
52,Саратов,10852.80070031888,830155.0,13.07322210950832,45.9923762,51.5224695,46.0555351,51.5575961
69,Южно-Сахалинск,2607.1913795651813,200235.0,13.020657625116394,142.7000206,46.886827,142.7452049,46.9674437
58,Тулун,489.6784190972079,38466.0,12.73016219771247,100.577999,54.557176,100.5792546,54.5615
18,Ижевск,8198.67243908553,646468.0,12.682255640009297,53.1850505,56.8319067,53.2260132,56.8809689
37,Нижний Новгород,15386.5212435993,1244254.0,12.36606130548851,43.8761249,56.2300834,44.0269997,56.3288
54,Сочи,4999.252875686432,432322.0,11.56372536138904,39.7210371,43.5663373,39.7448015,43.5940681
63,Хабаровск,6845.961975270529,610305.0,11.217279844127985,135.0922217,48.4076077,135.1129834,48.4649058
1,Арзамас,1104.7997803748804,103396.0,10.685130763036097,43.8151387,55.3846131,43.8202885,55.3985583
2,Астрахань,5237.891060896433,524371.0,9.988903011219982,47.9904419,46.3414698,48.0635368,46.3550185
11,Вологда,2749.8516477028143,308530.0,8.912752885303906,39.8296682,59.195808,39.8688675,59.2172841
51,Саранск,2735.5237091022714,317432.0,8.617668379691624,45.1523913,54.1711477,45.1624106,54.1946488
49,Самара,9559.042085941743,1144759.0,8.350265938893465,50.1228127,53.193738,50.2879479,53.3016801
